Potential_Buyer,Target,bid,TP,Success,Round
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,PENINSULA HOSPITAL CENTER,62330211.69,4,Yes,1
ELMHURST HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,486283293.8,4,No,1
STATEN ISLAND UNIVERSITY HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,505971925.7,4,No,1
LONG ISLAND JEWISH MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,517544903.7,4,Yes,1
BELLEVUE HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,490919968.4,4,No,1
HARLEM HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,495851449.4,4,No,1
LENOX HILL HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59079568.53,4,No,1
"ST FRANCIS HOSPITAL, ROSLYN","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59396044.69,4,Yes,1
MAIMONIDES MEDICAL CENTER,ST LUKE'S ROOSEVELT HOSPITAL,1030531316,4,Yes,1
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,EASTERN LONG ISLAND HOSPITAL,20506281.08,4,Yes,1
GLEN COVE HOSPITAL,LONG ISLAND COLLEGE HOSPITAL,130349178.1,4,Yes,1
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",513650030,4,No,1
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,"ST FRANCIS HOSPITAL, ROSLYN",497458675.1,4,No,1
CONEY ISLAND HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",523365624,4,No,1
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),"ST FRANCIS HOSPITAL, ROSLYN",520411462.5,4,No,1
UNIVERSITY HOSPITAL ( STONY BROOK ),"ST FRANCIS HOSPITAL, ROSLYN",518266949.7,4,No,1
ST BARNABAS HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",503080330.5,4,No,1
PENINSULA HOSPITAL CENTER,FLUSHING HOSPITAL MEDICAL CENTER,85923625.04,4,No,1
EASTERN LONG ISLAND HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,73133040.42,4,No,1
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,FLUSHING HOSPITAL MEDICAL CENTER,81655655.11,4,Yes,1
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,87016341.85,4,No,1
PECONIC BAY MEDICAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,86793327.71,4,Yes,1
MOUNT SINAI HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,451173180.8,4,No,1
NYU HOSPITALS CENTER,HOSPITAL FOR SPECIAL SURGERY,479116517.1,4,No,1
NEW YORK-PRESBYTERIAN HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),516542385.9,4,No,1
BETH ISRAEL MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),502828486.7,4,No,1
NEW YORK METHODIST HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),519901554.7,4,Yes,1
NEW YORK DOWNTOWN HOSPITAL,FOREST HILLS HOSPITAL,60400061.3,4,Yes,1
NORTH SHORE UNIVERSITY HOSPITAL,FOREST HILLS HOSPITAL,58772638.45,4,No,1
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,58722294.35,4,No,1
HOSPITAL FOR SPECIAL SURGERY,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,172091469.1,4,Yes,1
HUNTINGTON HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,525762134.3,4,No,1
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,542056869.2,4,No,1
WINTHROP-UNIVERSITY HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,546129975.3,4,No,1
SOUTH NASSAU COMMUNITIES HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,550726741.8,4,No,1
BRONX-LEBANON HOSPITAL CENTER,INTERFAITH MEDICAL CENTER,146460530.9,4,No,1
LUTHERAN MEDICAL CENTER,INTERFAITH MEDICAL CENTER,148871349,4,No,1
ST JOSEPH HOSPITAL,INTERFAITH MEDICAL CENTER,133614605.8,4,No,1
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,ST BARNABAS HOSPITAL,283374752.2,4,Yes,1
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,HUNTINGTON HOSPITAL,209589405.4,5,No,1
ELMHURST HOSPITAL CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,250297285.8,5,Yes,1
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,214824013.2,5,No,1
MOUNT SINAI HOSPITAL,LINCOLN MEDICAL & MENTAL HEALTH CENTER,388950644.5,5,Yes,1
BELLEVUE HOSPITAL CENTER,LINCOLN MEDICAL & MENTAL HEALTH CENTER,363754815.4,5,No,1
NORTH SHORE UNIVERSITY HOSPITAL,ELMHURST HOSPITAL CENTER,681207520,5,No,1
BETH ISRAEL MEDICAL CENTER,ELMHURST HOSPITAL CENTER,692940098,5,No,1
KINGS COUNTY HOSPITAL CENTER,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,410582798.9,5,Yes,1
LINCOLN MEDICAL & MENTAL HEALTH CENTER,BETH ISRAEL MEDICAL CENTER,1474070376,5,No,1
CONEY ISLAND HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",548263304.3,5,Yes,1
WINTHROP-UNIVERSITY HOSPITAL,MAIMONIDES MEDICAL CENTER,901437434.2,5,No,1
MONTEFIORE MEDICAL CENTER,CONEY ISLAND HOSPITAL,274386354.5,5,No,1
"ST FRANCIS HOSPITAL, ROSLYN",SOUTH NASSAU COMMUNITIES HOSPITAL,230910541.4,5,No,1
NYU HOSPITALS CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,265102454.7,5,Yes,1
LUTHERAN MEDICAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,263443076.9,5,No,1
HOSPITAL FOR SPECIAL SURGERY,METROPOLITAN HOSPITAL CENTER,131371174.5,5,Yes,1
SOUTH NASSAU COMMUNITIES HOSPITAL,BELLEVUE HOSPITAL CENTER,198772189.6,5,No,1
UNIVERSITY HOSPITAL ( STONY BROOK ),BELLEVUE HOSPITAL CENTER,188283141.6,5,No,1
NEW YORK-PRESBYTERIAN HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,453121214.8,5,No,1
STATEN ISLAND UNIVERSITY HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,468863426.4,5,No,1
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,LUTHERAN MEDICAL CENTER,371018519.8,5,No,1
ST JOSEPH HOSPITAL,FRANKLIN HOSPITAL,58226365.38,5,Yes,1
HUNTINGTON HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,572165425.5,5,Yes,1
LUTHERAN MEDICAL CENTER,NASSAU UNIVERSITY MEDICAL CENTER,227369460.2,6,No,1
MOUNT SINAI HOSPITAL,JACOBI MEDICAL CENTER,278228903.2,6,No,1
UNIVERSITY HOSPITAL ( STONY BROOK ),ELMHURST HOSPITAL CENTER,717993594.9,6,No,1
MONTEFIORE MEDICAL CENTER,BETH ISRAEL MEDICAL CENTER,1533479263,6,No,1
BELLEVUE HOSPITAL CENTER,BETH ISRAEL MEDICAL CENTER,1648044952,6,No,1
STATEN ISLAND UNIVERSITY HOSPITAL,GLEN COVE HOSPITAL,234696273.8,6,No,1
HARLEM HOSPITAL CENTER,LONG ISLAND JEWISH MEDICAL CENTER,975248529.8,6,No,1
NORTH SHORE UNIVERSITY HOSPITAL,KINGS COUNTY HOSPITAL CENTER,1267177606,6,No,1
NORTH CENTRAL BRONX HOSPITAL,LONG BEACH MEDICAL CENTER,34533778.38,6,No,1
BETH ISRAEL MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,996569107.1,6,No,1
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NORTH CENTRAL BRONX HOSPITAL,103974734.2,6,No,1
WINTHROP-UNIVERSITY HOSPITAL,INTERFAITH MEDICAL CENTER,187846702.1,6,No,1
MOUNT SINAI HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,333217133.3,7,No,1
NORTH SHORE UNIVERSITY HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,348158925,7,No,1
BELLEVUE HOSPITAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,527545336.5,7,No,1
STATEN ISLAND UNIVERSITY HOSPITAL,GLEN COVE HOSPITAL,291974028.8,7,No,1
MONTEFIORE MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,986320157.6,7,No,1
NEW YORK-PRESBYTERIAN HOSPITAL,MAIMONIDES MEDICAL CENTER,1022949428,7,No,1
NYU HOSPITALS CENTER,MAIMONIDES MEDICAL CENTER,1005798189,7,No,1
JAMAICA HOSPITAL MEDICAL CENTER,ST JOSEPH HOSPITAL,123146566.8,7,No,1
LENOX HILL HOSPITAL,ST JOSEPH HOSPITAL,121522240.7,7,No,1
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,ST JOSEPH HOSPITAL,112174654.3,7,No,1
NORTH SHORE UNIVERSITY HOSPITAL,NYU HOSPITALS CENTER,2910968643,8,No,1
JAMAICA HOSPITAL MEDICAL CENTER,BROOKDALE HOSPITAL MEDICAL CENTER,244470859.7,8,No,1
MONTEFIORE MEDICAL CENTER,BROOKDALE HOSPITAL MEDICAL CENTER,255508492.3,8,No,1
NYU HOSPITALS CENTER,HARLEM HOSPITAL CENTER,1242886109,8,No,1
WINTHROP-UNIVERSITY HOSPITAL,MERCY MEDICAL CENTER,98891848.9,8,No,1
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,LUTHERAN MEDICAL CENTER,574402153.4,8,No,1
PLAINVIEW HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,124826649.4,8,No,1
MONTEFIORE MEDICAL CENTER,QUEENS HOSPITAL CENTER,302777892.5,9,No,1
MOUNT SINAI HOSPITAL,HARLEM HOSPITAL CENTER,1085871758,9,No,1
"ST FRANCIS HOSPITAL, ROSLYN",BRONX-LEBANON HOSPITAL CENTER,528506642.8,4,No,2
BELLEVUE HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,515392243,4,No,2
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,487830947.6,4,No,2
PENINSULA HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",56347718.33,4,No,2
MOUNT SINAI HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54389115.68,4,No,2
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59612180.44,4,No,2
GLEN COVE HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54845474.18,4,No,2
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,HUNTINGTON HOSPITAL,190830283.3,4,No,2
LONG ISLAND JEWISH MEDICAL CENTER,HUNTINGTON HOSPITAL,188666946.4,4,No,2
MAIMONIDES MEDICAL CENTER,ST LUKE'S ROOSEVELT HOSPITAL,1027326571,4,No,2
NORTH CENTRAL BRONX HOSPITAL,EASTERN LONG ISLAND HOSPITAL,18176397.79,4,No,2
NORTH SHORE UNIVERSITY HOSPITAL,ELMHURST HOSPITAL CENTER,778615947,4,No,2
NYU HOSPITALS CENTER,ELMHURST HOSPITAL CENTER,762018937.2,4,No,2
UNIVERSITY HOSPITAL ( STONY BROOK ),ELMHURST HOSPITAL CENTER,766219889.5,4,No,2
HUNTINGTON HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,805165627.4,4,No,2
CONEY ISLAND HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,796027904.4,4,No,2
HARLEM HOSPITAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,745252817.2,4,No,2
HOSPITAL FOR SPECIAL SURGERY,WINTHROP-UNIVERSITY HOSPITAL,775521295.2,4,No,2
ST BARNABAS HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,746728497.5,4,No,2
NEW YORK-PRESBYTERIAN HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",522757919.6,4,No,2
STATEN ISLAND UNIVERSITY HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",519780635.1,4,No,2
BETH ISRAEL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",524262697.6,4,No,2
SOUTH NASSAU COMMUNITIES HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",512207263.6,4,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",514414137.4,4,No,2
NEW YORK DOWNTOWN HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,75699089.08,4,No,2
PECONIC BAY MEDICAL CENTER,FLUSHING HOSPITAL MEDICAL CENTER,72868727.31,4,No,2
ELMHURST HOSPITAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,311623984.3,4,No,2
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,METROPOLITAN HOSPITAL CENTER,133631305.9,4,No,2
MONTEFIORE MEDICAL CENTER,HARLEM HOSPITAL CENTER,224059499.4,4,No,2
LINCOLN MEDICAL & MENTAL HEALTH CENTER,HARLEM HOSPITAL CENTER,241518346.4,4,No,2
KINGS COUNTY HOSPITAL CENTER,HARLEM HOSPITAL CENTER,233893815.3,4,No,2
NEW YORK METHODIST HOSPITAL,HARLEM HOSPITAL CENTER,217816347.2,4,No,2
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),HARLEM HOSPITAL CENTER,213145913.8,4,No,2
WINTHROP-UNIVERSITY HOSPITAL,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,432853275.1,4,No,2
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,58210691.18,4,No,2
BRONX-LEBANON HOSPITAL CENTER,NORTH CENTRAL BRONX HOSPITAL,86514673.46,4,No,2
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NORTH CENTRAL BRONX HOSPITAL,90364687.94,4,No,2
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,NORTH CENTRAL BRONX HOSPITAL,92688863.16,4,No,2
LENOX HILL HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,89616439.21,4,No,2
LUTHERAN MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,80070695.82,4,No,2
ST JOSEPH HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,80859168.77,4,No,2
